"DepartamentoCodigo","Departamento","MunicipioCodigo","Municipio","Año","IRCA","Nivel de riesgo","IRCAurbano","Nivel de riesgo urbano","IRCArural","Nivel de riesgo rural","pH","Turbiedad","Color","Coliformes_Totales","Coliformes_Fecales"
"De","Departamento","Munici","Municipio","Año","0.0","Nivel de riesgo","IRCA","Nivel de riesgo urbano","IRCA","Nivel de riesgo rural","7.48","5.68","16","122.3","111"
"70","Sucre","70235","Galeras","2017","53.0","Riesgo alto","48.5","Riesgo alto","ND","ND","6.15","7.47","45.1","847.5","36"
"70","Sucre","70235","Galeras","2018","12.0","Riesgo bajo","12.0","Riesgo bajo","ND","ND","6.8","8.91","11.9","376.9","189"
"70","Sucre","70235","Galeras","2019","18.8","Riesgo medio","ND","ND","ND","ND","6.77","5.72","6.9","630.8","246.2"
"70","Sucre","70235","Galeras","2020","50.0","Riesgo alto","50.0","Riesgo alto","ND","ND","6.33","5.86","17.5","579.8","437.5"
"70","Sucre","70235","Galeras","2021","13.1","Riesgo bajo","13.1","Riesgo bajo","ND","ND","6.88","9.71","34.6","173.2","11.5"
"70","Sucre","70235","Galeras","2022","8.1","Riesgo bajo","8.1","Riesgo bajo","ND","ND","6.72","5.77","14","414.7","221.8"
"70","Sucre","70235","Galeras","2023","4.6","Sin riesgo","4.6","Sin riesgo","ND","ND","7.5","9.99","41.4","227.7","397.5"
"70","Sucre","70265","Guaranda","2007","54.8","Riesgo alto","54.8","Riesgo alto","ND","ND","6.89","9.88","19.5","571.2","225.5"
"70","Sucre","70265","Guaranda","2008","36.8","Riesgo alto","36.8","Riesgo alto","ND","ND","6.32","5.93","27.3","639.6","37.3"
"70","Sucre","70265","Guaranda","2009","41.0","Riesgo alto","41.0","Riesgo alto","ND","ND","7.16","8.01","31.2","874.8","131"
"70","Sucre","70265","Guaranda","2010","39.2","Riesgo alto","39.2","Riesgo alto","ND","ND","7.46","3.52","2.9","671.7","116.4"
"73","Tolima","73616","Rioblanco","2010","2.6","Sin riesgo","ND","ND","ND","ND","7.35","5.48","31.5","949.8","254.9"
"73","Tolima","73616","Rioblanco","2011","7.4","Riesgo bajo","ND","ND","ND","ND","6.17","7.73","40.2","687","255"
"73","Tolima","73616","Rioblanco","2012","14.9","Riesgo medio","ND","ND","ND","ND","7.61","0.96","1.1","113.9","273.4"
"73","Tolima","73616","Rioblanco","2013","11.6","Riesgo bajo","ND","ND","ND","ND","6.55","3.59","19.5","817.5","486.2"
"73","Tolima","73616","Rioblanco","2014","14.3","Riesgo medio","ND","ND","ND","ND","6.48","9.51","37.1","134.9","5.1"
"73","Tolima","73616","Rioblanco","2015","16.5","Riesgo medio","ND","ND","ND","ND","6.62","8.96","24.5","805.7","16"
"73","Tolima","73616","Rioblanco","2016","13.3","Riesgo bajo","ND","ND","ND","ND","7.27","4.43","41.8","920.9","44.7"
"73","Tolima","73616","Rioblanco","2017","16.4","Riesgo medio","ND","ND","ND","ND","7.85","7.99","23.2","509.1","57"
"73","Tolima","73616","Rioblanco","2018","4.7","Sin riesgo","4.7","Sin riesgo","ND","ND","6.39","5.8","32.3","686.3","412.5"
"73","Tolima","73616","Rioblanco","2019","6.1","Riesgo bajo","6.1","Riesgo bajo","ND","ND","7.65","0.39","33.2","831.6","232.4"
"73","Tolima","73616","Rioblanco","2020","0.0","Sin riesgo","0.0","Sin riesgo","ND","ND","7.06","3.99","7.4","560.2","53.9"
"73","Tolima","73616","Rioblanco","2021","9.9","Riesgo bajo","9.9","Riesgo bajo","ND","ND","6.35","4.19","28.6","714.7","93.5"
"73","Tolima","73616","Rioblanco","2022","2.1","Sin riesgo","2.1","Sin riesgo","ND","ND","7.63","4.89","15.9","308.9","232.2"
"73","Tolima","73616","Rioblanco","2023","1.2","Sin riesgo","1.2","Sin riesgo","ND","ND","7.62","1.03","7.6","542.3","254.8"
"73","Tolima","73622","Roncesvalles","2007","30.1","Riesgo medio","ND","ND","ND","ND","8.11","0.91","29.8","89.6","413.1"
"73","Tolima","73622","Roncesvalles","2008","70.3","Riesgo alto","ND","ND","ND","ND","8.33","6.17","36.7","801.7","168.8"
